Date,Sample,Volume,NH4,NO3,d15N_NH4,d15N_NO3,ug_NH4-N_total_filter,ug_NO3-N_total_filter,Sample_volume,Replicate,NH4 mass,NO3 mass,% NH4 retained,absorbed NO3
2016-10-28,CTF,0,0,0,0,0,0,0,0,,,,,
2016-10-28,CSF,0,0,0,0,0,0,0,0,,,,,
2016-12-19,blank,0,0.024,0.07,0,0,0,0,0,,,,,
2016-12-19,blank,0,0.024,0.07,0,0,0,0,0,,,,,
2016-12-19,T1,46.21168944,0.498,0.297,0,0,0,0,0,,,,,
2016-12-19,T2,32.39953475,0.133,0.107,0,0,0,0,0,,,,,
2016-12-19,T3,37.48822332,0.515,0.195,0,0,0,0,0,,,,,
2016-12-19,S1,4,0.839,0.046,0,0,0,0,0,,,,,
2016-12-19,S2,26.45551032,0.178,0.009,0,0,0,0,0,,,,,
2016-12-19,S3,8,0.182,0.042,0,0,0,0,0,,,,,
2016-12-19,RF,3521.69,0.253,1.161,0,0,0,0,0,,,,,
2016-12-19,CTF,0,0.083,0.772,0,0,0,0,0,,,,,
2016-12-19,CSF,0,0,0,0,0,0,0,0,,,,,
2017-02-28,T13T1,1,1922,6607,1002,1002,NA,NA,NA,,,,,
2017-02-28,T13T2,1,1922,6607,1001,1001,NA,NA,NA,,,,,
2017-02-28,T13T3,1,1922,6607,1001,1001,NA,NA,NA,,,,,
2017-03-06,blank,0,0.076,-0.0135,15.44,33.12,3.39,5.06,0,,,,,
2017-03-06,blank,0,0.076,-0.0135,22.58,17.00,55.58,3.19,0,,,,,
2017-03-06,T1,41.12300087,1.158,6.27,724.17,782.57,94.67,69.18,0,,,,,
2017-03-06,T1,41.12300087,1.158,6.27,726.05,745.47,79.55,101.28,0,,,,,
2017-03-06,T2,41.12300087,1.105,7.02,697.25,781.51,75.06,91.41,0,,,,,
2017-03-06,T2,41.12300087,1.105,7.02,571.73,786.26,91.36,176.74,0,,,,,
2017-03-06,T3,46.21168944,1.281,6.84,704.70,696.78,41.06,155.64,0,,,,,
2017-03-06,T3,46.21168944,1.281,6.84,575.44,788.55,69.88,206.67,0,,,,,
2017-03-06,S1,27.18246583,0.119,11.94,18.75,806.06,8.45,336.16,0,,,,,
2017-03-06,S1,27.18246583,0.119,11.94,18.87,663.12,17.60,112.71,0,,,,,
2017-03-06,S2,16.27813318,0.119,23.13,42.25,836.09,22.32,265.60,0,,,,,
2017-03-06,S2,16.27813318,0.119,23.13,38.10,867.68,11.68,246.83,0,,,,,
2017-03-06,S3,9.735533585,0.129,2.05,29.51,654.38,61.35,101.81,0,,,,,
2017-03-06,S3,9.735533585,0.129,2.05,37.89,629.47,8.16,75.60,0,,,,,
2017-03-06,RF,0,0.135,0.084,68.41,185.76,2.76,1.76,0,,,,,
2017-03-13,blank,0,0.076,0.0045,108.73,-6.63,1.26,5.51,0.9,,,,,
2017-03-13,blank,0,0.076,0.0045,NA,20.48,0.32,1.51,0.9,,,,,
2017-03-13,T1,7.5,0.167,0.267,67.20,139.86,25.86,16.18,0.9,,,,,
2017-03-13,T1,7.5,0.167,0.267,69.72,144.09,24.92,12.21,0.9,,,,,
2017-03-13,T2,7,0.176,0.248,65.38,139.45,18.81,51.13,0.9,,,,,
2017-03-13,T2,7,0.176,0.248,75.99,159.12,14.31,32.50,0.9,,,,,
2017-03-13,T3,7.8,0.183,0.29,60.65,116.61,26.33,19.85,0.9,,,,,
2017-03-13,T3,7.8,0.183,0.29,57.82,115.55,36.19,21.77,0.9,,,,,
2017-03-13,S1,5,0.132,0.243,10.23,285.67,18.82,14.94,0.9,,,,,
2017-03-13,S1,5,0.132,0.243,27.16,307.42,4.08,46.95,0.9,,,,,
2017-03-13,S2,7,0.093,0.056,16.51,98.57,8.54,9.67,0.9,,,,,
2017-03-13,S2,7,0.093,0.056,18.37,98.35,4.99,8.81,0.9,,,,,
2017-03-13,S3,5,0.141,0.085,8.77,67.05,24.38,49.01,0.95,,,,,
2017-03-13,CTF,         ,0.13,0.226,-2.59,-8.61,16.07,25.57,1,,,,,
2017-03-13,CTF,         ,0.13,0.226,-5.32,-11.06,15.82,29.50,1,,,,,
2017-03-13,CSF,0,0.092,0.025,3.09,-2.63,6.78,19.62,1,1,,,,
2017-03-13,CSF,0,0.092,0.025,4.04,14.33,2.30,4.01,1,1,,,,
2017-03-13,RF,1.45,0.206,0.634,-11.71,-5.14,27.48,43.48,0.9,,,,,
2017-04-06,blank,0,-0.068,-0.063,44.34,-7.36,12.285,6.2799,0,,,,,
2017-04-06,blank,0,-0.068,-0.063,27.7,59.63,53.3154,5.3458,0,,,,,
2017-04-06,T1,24.40302413,0.177,0.152,26.92,19.11,43.2328,56.0015,0,,,,,
2017-04-06,T2,22.2221576,0.415,0.179,27.81,13.6,39.5466,52.3347,0,,,,,
2017-04-06,T3,25.12997965,0.249,0.251,28.69,19.35,10.4437,0,0,,,,,
2017-04-06,S1,11.18944461,0.084,-0.033,19.11,18.98,22.9363,0,0,,,,,
2017-04-06,S2,22.09377726,0.042,0.042,24.81,16.49,16.6492,41.2493,0,,,,,
2017-04-06,S3,4.646845013,0.146,-0.012,15.08,11.66,27.098,59.5221,0,,,,,
2017-04-06,RF,0,0.215,0.697,12.93,-27.74,1.8614,1.8409,0,,,,,
2017-04-06,CTF,0,0.034,0.241,15.35,-3.99,11.1271,49.8232,0,1,,,,
2017-04-06,CSF,0,0.024,0.133,13.63,-5.36,15.0628,39.1463,0,1,,,,
2016-08-10,T1,4.076,3.835,12.01,660.95,30.09,5.2957,936.7668339,0.04,1,,,,
2016-08-10,T2,3.48,5.407,16.322,584.43,30.31,51.58065478,240.4656395,0.03,1,,,,
2016-08-10,T3,3.7,4.933,17.318,585.73,27.67,100.7003704,948.0276264,0.03,1,,,,
2017-04-06,T1,24.40302413,0.177,0.152,59.83,20.51,30.3426,105.6054,0,1,,,,
2017-04-06,T2,22.2221576,0.415,0.179,56.86,NA,27.4736,NA,0,1,,,,
2017-04-06,T3,25.12997965,0.249,0.251,27.04,NA,49.2738,64.5073,0,1,,,,
2017-04-06,S1,11.18944461,0.084,-0.033,22.57,NA,19.3039,60.3998,0,1,,,,
2017-04-06,S2,22.09377726,0.042,0.042,19.42,16.82,9.5103,60.799,0,1,,,,
2017-04-06,S3,4.646845013,0.146,-0.012,NA,-6.02,NA,NA,0,1,,,,
2017-04-06,RF,0,0.215,0.697,607.94,NA,6.8337,NA,0,1,,,,
2017-03-06,RF,0,0.135,0.084,35.59,556.92,3.00,5.39,0,,,,,
2017-04-06,CTF,0,0.034,0.241,17.85,-15.57,9.825,35.1145,0,,,,,
2017-04-06,CSF,0,0.024,0.133,-3.86,-28.98,5.2957,8.4271,0,,,,,
