Date,Sample,Volume,NH4,NO3,d15N_NH4,d15N_NO3,ug_NH4-N_total_filter,ug_NO3-N_total_filter,Sample_volume
28/10/2016,T1,0,0.167,0.267,0,0,0,0,0
28/10/2016,T2,0,0.176,0.248,0,0,0,0,0
28/10/2016,T3,0,0.183,0.29,0,0,0,0,0
28/10/2016,S1,0,0.132,0.243,0,0,0,0,0
28/10/2016,S2,0,0.093,0.056,0,0,0,0,0
28/10/2016,S3,0,0.141,0.085,0,0,0,0,0
28/10/2016,RF,0,0.206,0.226,0,0,0,0,0
28/10/2016,CTF,0,0.13,0.025,0,0,0,0,0
28/10/2016,CSF,0,0.092,0.634,0,0,0,0,0
13/03/2017,blank,0,0.076,.0045*,0,0,0,0,0
13/03/2017,blank,0,0.076,.0045*,0,0,0,0,0
13/03/2017,T1,7.5,0.167,0.267,0,0,0,0,0
13/03/2017,T2,7,0.176,0.248,0,0,0,0,0
13/03/2017,T3,7.8,0.183,0.29,0,0,0,0,0
13/03/2017,S1,5,0.132,0.243,0,0,0,0,0
13/03/2017,S2,7,0.093,0.056,0,0,0,0,0
13/03/2017,S3,5,0.141,0.085,0,0,0,0,0
13/03/2017,RF,1.45,0.206,0.634,0,0,0,0,0
13/03/2017,CTF,         ,0.13,0.226,0,0,0,0,0
13/03/2017,CSF,0,0.092,0.025,0,0,0,0,0
06/04/2017,blank,0,-0.068,-0.063,0,0,0,0,0
06/04/2017,blank,0,-0.068,-0.063,0,0,0,0,0
06/04/2017,T1,24.40302413,0.177,0.152,0,0,0,0,0
06/04/2017,T2,22.2221576,0.415,0.179,0,0,0,0,0
06/04/2017,T3,25.12997965,0.249,0.251,0,0,0,0,0
06/04/2017,S1,11.18944461,0.084,-0.033,0,0,0,0,0
06/04/2017,S2,22.09377726,0.042,0.042,0,0,0,0,0
06/04/2017,S3,4.646845013,0.146,-0.012,0,0,0,0,0
06/04/2017,RF,0,0.215,0.697,0,0,0,0,0
06/04/2017,CTF,0,0.034,0.241,0,0,0,0,0
06/04/2017,CSF,0,0.024,0.133,0,0,0,0,0
10/08/2016,T1,0,3.835,12.01,660.95,30.09,67.2667798,936.7668339,0.04
10/08/2016,T2,0,5.407,16.322,584.43,30.31,51.58065478,240.4656395,0.03
10/08/2016,T3,0,4.933,17.318,585.73,27.67,100.7003704,948.0276264,0.03
