Date,Tree,N_form,15N_applied,N_rec,c1,c2,SD_d15N,mean_d15N,SD_Nrec,mean_Nrec
06/03/2017,T1,NH4-N,9.749609006,461.412342,724.17,726.05,72.86987187,666.5566667,159.8090036,522.6174683
06/03/2017,T2,NH4-N,10.22805608,429.780848,697.25,571.73,72.86987187,666.5566667,159.8090036,522.6174683
06/03/2017,T3,NH4-N,9.080712627,676.659215,704.7,575.44,72.86987187,666.5566667,159.8090036,522.6174683
06/03/2017,T1,NO3-N,9.749609006,725.318916,782.57,745.47,152.5920777,666.5566667,251.2647581,855.6549797
06/03/2017,T2,NO3-N,10.22805608,792.688775,781.51,786.26,152.5920777,666.5566667,251.2647581,920.8230115
06/03/2017,T3,NO3-N,9.080712627,1048.957248,836.09,867.68,152.5920777,666.5566667,251.2647581,1048.957248
