"mY"	"RF.NH4"	"RF.NO3"	"TF.NH4"	"TF.NO3"	"SF.NH4"	"SF.NO3"
"1"	"201110"	40.150115447323	543.469040561647	95.8906930205562	191.188500950344	2.81959272038412	4.24540945671061
"2"	"201111"	56.2468563999672	645.623819577052	380.727560297942	485.331714540841	6.88743646947713	3.59032639418716
"3"	"201112"	5.9034756539818	77.3317905656555	162.519946305607	52.9041280615133	4.35303042981549	0.268675463191543
"4"	"201201"	6.61619171318785	93.6643958756945	66.084969715754	33.0639847416206	3.83690202011042	0.391725496671297
"5"	"201202"	9.57925972472974	102.271781663357	26.7799779193892	23.7673030787582	1.55447388208649	0.299699043404095
"6"	"201203"	14.9600287718241	169.628290068225	12.8284691517387	44.0150578345456	0.783523394015025	2.21066966324783
"7"	"201204"	20.0940422079292	309.181021929056	33.7958843125826	80.652461626076	2.83819843693145	3.67272571164928
"8"	"201205"	47.2041164951236	869.774862106041	118.07271936882	59.2160442814207	10.0852976660252	0.796764747865622
"9"	"201206"	50.9275814111511	944.585488161681	148.327508784417	10.2624131672847	3.11733057129855	1.03101121187491
"10"	"201207"	37.6945154228713	645.725828625134	60.072142931047	18.6752679591206	6.72520213892882	0.353204147170655
"11"	"201208"	44.0402363542559	801.13695565166	87.6475580902488	26.6409755104928	8.96978196167907	0.944631705569014
"12"	"201209"	8.81599693393484	107.259550189481	179.309972929844	7.48059946453848	13.6976589943173	0.713630698584801
"13"	"201210"	4.55996088467842	213.256739859541	205.091282495154	21.3784840514932	3.4711924622954	0.309649733189412
"14"	"201211"	8.76157857459518	103.657876542125	77.6837008810147	18.0603807629435	4.96482474070019	0.371996236125004
"15"	"201212"	18.9056223129883	278.875151331706	62.9320107477058	122.153841459802	2.60136997438943	0.603679128599311
"16"	"201301"	13.9562401137242	206.548070500579	54.0478005146989	91.6729415297695	1.07824392938815	0.438687252550209
"17"	"201302"	14.9719021640461	139.504223667934	82.4873433879399	84.2112829081227	0.851089108537245	0.12113036491859
"18"	"201303"	47.2113098679775	458.033623682852	200.044689454525	308.812363663453	1.63477866826632	1.25931673903663
"19"	"201304"	37.4603095291726	291.561365685935	185.019995242834	129.972628006975	1.61900292925224	5.37330093476189
"20"	"201305"	12.5662494231611	127.6775981272	85.357196239613	89.3968912914568	4.01471318596477	0.974024002806676
"21"	"201306"	15.1305091832821	182.40904514943	160.52233180763	85.4866504346223	14.8276481088132	0.859465881046298
"22"	"201307"	19.724109314679	143.710717574774	330.598711033801	58.4811928466926	25.6806489583351	0.454021585079014
"23"	"201308"	26.8277731878658	131.336600089119	279.100066674064	102.646810123806	13.2344709941504	0.406976062338759
"24"	"201309"	42.487958046342	214.48591041609	255.77379797146	302.307936142431	3.97126201838727	0.857559088946949
"25"	"201310"	16.473009790236	21.448591041609	80.4624391118207	35.1038160346957	4.97667757449831	0.130536659786518
"26"	"201311"	8.1133013597121	22.1362948605226	51.9087138358456	26.9701287039434	2.64639719567589	0.21619371982637
"27"	"201312"	4.44535156309365	40.3661847456589	48.1892535834035	45.0551337806313	0.948557904758119	0.356322492016564
"28"	"201401"	10.2871177306957	100.577720153578	68.7530324026973	85.875455872752	1.11569757671777	0.749486649475427
"29"	"201402"	26.6673411432596	270.162021935972	122.582274329198	198.310628425527	1.5414210293963	1.84677438098256
"30"	"201403"	10.8817556629662	180.709026749374	86.2012860711322	118.538053885096	2.15676634051702	1.4511554167025
"31"	"201404"	34.5291276561156	723.541637352966	360.084148751789	504.444254225794	2.35808905925452	6.22475667741041
"32"	"201405"	49.3330253318798	355.401694473101	310.618263293328	205.324433461433	15.4133485064195	2.74513292526127
"33"	"201406"	22.381076758286	132.357719952125	324.860744212536	30.5826177106031	26.5975509714625	0.379811505440267
"34"	"201407"	27.3872183478858	94.2305137976396	176.203288006247	34.354745029737	5.5356425944512	0.552626038118594
"35"	"201408"	39.4820220246167	134.637238684203	55.6804703843449	58.7529669986208	6.5253881227645	1.12363119338636
"36"	"201409"	15.2168700739611	113.226345027369	83.9240532715985	43.2328971116122	6.60540762851272	0.948121018204298
"37"	"201410"	11.3788944430826	82.573656123949	7.35996082720715	6.90948229989143	5.31704102293947	0.491051903716619
"38"	"201411"	26.9549853027626	347.799516615795	134.668199809333	207.100610960675	2.80585868598023	1.15391656365106
"39"	"201412"	7.70892367184407	102.92851594298	80.2909320552899	43.672383704653	2.59451357974313	0.325419004505511
"40"	"201501"	0.76789731969209	9.53697211500082	36.1416691322791	13.5530294837874	1.53327182405003	0.241854911499598
"41"	"201502"	11.6146004139891	111.874438873392	62.9730516795243	65.0442879362224	2.10448681306364	0.449082520854706
"42"	"201503"	22.413221601942	159.54878051272	117.198695148812	76.9208320336037	2.2285175345581	1.14184832611594
"43"	"201504"	19.3107818266847	138.246193390979	144.405290664621	81.3608644575413	2.50898929365445	1.31457231910902
"44"	"201505"	67.8969020913103	197.639043708435	57.1005892930823	80.8159088983668	3.29274154650317	1.7368182756127
"45"	"201506"	65.0791909730102	27.563776029099	12.2291039130383	2.8870647547649	2.34518114774102	0.1112798164698
"46"	"201507"	17.955331234677	109.98004152559	7.65103530646515	4.45549755191769	2.06936440728466	0.552303104440659
"47"	"201508"	45.8940115812179	252.954095508857	27.0521111680016	17.3829797202969	6.15815943025812	1.68041418193957
"48"	"201509"	14.8942879808197	24.296945408715	37.9300045787573	123.184466114893	4.82392658099436	1.51105909025083
"49"	"201510"	18.1066260460754	231.995243083672	59.616102404352	345.224347119364	4.78539147648237	1.48620381824118
