"dates"	"x"	"RF.NO3.MEAN"	"RF.NH4.MEAN"	"SF.NO3.mean"	"SF.NH4.mean"	"SFC.NO3.mean"	"SFC.NH4.mean"	"SFT.NO3.mean"	"SFT.NH4.mean"	"TF.NO3.mean"	"TF.NH4.mean"	"TFC.NO3.mean"	"TFC.NH4.mean"	"TFT.NO3.mean"	"TFT.NH4.mean"
"2011-10-11"	"11/10/2011"	26	0.651863319684948	2.02853277570375	0.0663478120655855	6.34952825908201	NA	NA	0.0663478120655855	6.34952825908201	0.504866265960857	5.66418259628252	NA	NA	0.504866265960857	5.66418259628252
"2011-10-31"	"31/10/2011"	20	2.68475212365594	1.90607921350929	7.99155301458385	5.06508087029571	7.99155301458385	5.06508087029571	NA	NA	95.6018498961498	47.7416765514641	95.6018498961498	47.7416765514641	NA	NA
"2011-11-22"	"22/11/2011"	22	2.81297986205835	2.55667514101504	3.50936240799414	7.38121290446144	NA	NA	3.50936240799414	7.38121290446144	108.792871225841	97.715012184676	NA	NA	108.792871225841	97.715012184676
"2011-12-01"	"01/12/2011"	9	NA	NA	3.65762412837538	6.28630874154596	3.65762412837538	6.28630874154596	NA	NA	150.694619233172	104.295534927734	150.694619233172	104.295534927734	NA	NA
"2011-12-15"	"15/12/2011"	14	0.384527437730136	0.284281624069843	0.009548679947284	2.49962957338885	NA	NA	0.009548679947284	2.49962957338885	6.4886641895162	46.8351500867501	NA	NA	6.4886641895162	46.8351500867501
"2012-01-12"	"12/01/2012"	28	0.125949474130644	0.120220771119533	0.157437767883216	8.74763322757243	0.197335879732314	10.2528954067048	0.179822004849497	5.44362454204406	5.64870929293108	40.0111176340108	11.0464103258261	38.461801559151	0.850752819246639	41.3882874783306
"2012-02-16"	"16/02/2012"	35	0.413423553522193	0.272291717477054	1.23447906556622	6.40297494719121	1.45814586314686	6.96733114990454	0.513203440683557	5.93042110607089	26.0034837924352	29.3003423046228	31.2669561427499	31.3196216782657	19.9880868206471	26.9925944490309
"2012-03-15"	"15/03/2012"	28	0.277877182129571	0.401737976001414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2012-04-26"	"26/04/2012"	42	0.79966702243848	0.558372527005416	10.9270651248764	3.8728582976772	15.5599641075468	4.07532670869828	0.977735603967926	3.72561255535721	57.7876552414225	16.8422640867881	103.031549006795	16.4250247873884	12.5437614760503	17.2595033861878
"2012-05-25"	"25/05/2012"	29	2.53169037140071	1.39408913791566	1.09743026066427	21.3646175495657	1.66867931625239	13.04524739342	0.436045504052191	24.9407572518955	33.0985094177995	46.9559227802075	51.1123933722278	57.0209722735583	15.0846254633712	36.8908732868567
"2012-06-21"	"21/06/2012"	27	3.94754026798191	2.05864878620512	2.49411380617009	2.57778171180217	2.58080591424459	3.30262903306951	1.83763281056126	0.281916889258649	4.87467475049612	83.577455813773	10.0242978932937	148.975349363289	0.297231956898283	25.4459948808695
"2012-07-20"	"20/07/2012"	29	2.11414942465119	1.36860061619911	0.00492282698200903	12.4538630923823	0	14.5887731943313	0.0328188465467268	7.46439112257278	4.32070109008306	29.5689368667068	6.63027368185884	10.0026770481903	2.01112849830729	49.1351966852234
"2012-08-22"	"22/08/2012"	33	3.53483611530942	1.8720355195701	1.98506507064857	12.2240540314808	2.52779872584069	11.9326990990493	1.70121648530104	9.08811683276299	19.0804483584807	28.9625652514971	32.3473208972419	33.5780498347687	5.81357581971948	24.3470806682255
"2012-09-26"	"26/09/2012"	35	0.260812475726231	0.317272463177946	1.77086316051212	33.9917277511118	0.257072829553172	34.3536945373571	5.60052042811153	24.2357907250605	2.34643132339379	95.3866954713475	4.60165715243564	75.1244737799791	0.0912054943519438	115.648917162716
"2012-10-18"	"18/10/2012"	22	0.986207434337036	0.141728201326643	0.155475780099906	2.97931468851737	0.0493301481230478	1.85925160704202	0.359430325934411	3.98198834406939	10.9900662498228	103.543397735636	20.2538378610552	198.84694801102	1.72629463859033	8.23984746025145
"2012-11-15"	"15/11/2012"	28	0.274918310335085	0.15452717712773	0.981858587066719	8.82782694077294	0.372431597753033	9.2473129043176	2.60263031097867	5.18609870624356	3.66173121440709	38.4882717136694	6.85191701977684	22.0533307109212	0.47154540903733	54.9232127164176
"2012-12-10"	"13/12/2012"	28	NA	NA	NA	NA	NA	NA	NA	NA	11.7846904366366	30.3918858191072	18.9796368742369	20.6786152700642	4.58974399903629	40.1051563681502
"2013-01-17"	"17/01/2013"	35	NA	NA	1.84645982750256	3.29091764250871	2.94561259513763	3.59550144993119	0.33049457997175	2.31722789383308	102.024424736138	34.9583606303557	123.53460751649	36.5642131106522	80.514241955785	33.3525081500592
"2013-02-20"	"20/02/2013"	34	0.103421754662136	0.152087538508837	0	1.35533839263334	0	1.49125547759748	0	0.503202593341087	0.506091806194648	27.6698322223959	1.15678127130205	22.5602291665829	0	31.6439679324727
"2013-03-28"	"28/03/2013"	36	1.43497382509153	1.49126902018967	0.508066497387623	3.62404300613335	0.172886420289274	0.567323211899454	0.843246574485972	4.8399912498223	182.886690430074	112.419421108818	179.532176744989	90.1290640383449	184.004861658435	122.326246473473
"2013-04-18"	"18/04/2013"	21	1.40546920446647	1.81859293017255	11.0108855041311	1.81711724083005	15.4548467203921	2.28729538402814	1.05057941484068	0.857499324303828	56.5629736492748	88.344713183776	99.9059418480353	99.938597434044	13.2200054505142	78.0390382946489
