"mY"	"RF.NH4"	"RF.NO3"	"TF.NH4"	"TF.NO3"	"SF.NH4"	"SF.NO3"
"1"	"201110"	40.150115447323	543.469040561647	47.9595392716189	95.6212750195242	2.81959272038412	4.24540945671061
"2"	"201111"	56.2468563999672	645.623819577052	190.422152143583	242.743645759323	6.88743646947713	3.59032639418716
"3"	"201112"	5.9034756539818	77.3317905656555	81.2870360236029	26.4603445753941	4.35303042981549	0.268675463191543
"4"	"201201"	6.61619171318785	93.6643958756945	33.0535232861226	16.5370528935683	3.83690202011042	0.391725496671297
"5"	"201202"	9.57925972472974	102.271781663357	13.3944424672864	11.8873074705162	1.55447388208649	0.299699043404095
"6"	"201203"	14.9600287718241	169.628290068225	6.41610120459726	22.0143456077893	0.783523394015025	2.21066966324783
"7"	"201204"	20.0940422079292	309.181021929056	16.902843028402	40.3386228104129	2.83819843693145	3.67272571164928
"8"	"201205"	47.2041164951236	869.774862106041	59.0520092176896	29.6164561088047	10.0852976660252	0.796764747865622
"9"	"201206"	50.9275814111511	944.585488161681	74.1812551214496	5.13232128840796	3.11733057129855	1.03101121187491
"10"	"201207"	37.6945154228713	645.725828625134	30.04655829904	9.33994333548604	6.72520213892882	0.353204147170655
"11"	"201208"	44.0402363542559	801.13695565166	43.8363843721671	13.3236664190453	8.96978196167907	0.944631705569014
"12"	"201209"	8.81599693393484	107.259550189481	89.6847598163759	3.74125659389366	13.6976589943173	0.713630698584801
"13"	"201210"	4.55996088467842	213.256739859541	102.586867533136	10.6919601846245	3.4711924622954	0.309649733189412
"14"	"201211"	8.76157857459518	103.657876542125	38.8538477837318	9.03245590755283	4.96482474070019	0.371996236125004
"15"	"201212"	18.9056223129883	278.875151331706	31.4758447336921	61.0957815830423	2.60136997438943	0.603679128599311
"16"	"201301"	13.9562401137242	206.548070500579	27.0327246337115	45.850885730442	1.07824392938815	0.438687252550209
"17"	"201302"	14.9719021640461	139.504223667934	41.2584659747645	42.121085181769	0.851089108537245	0.12113036491859
"18"	"201303"	47.2113098679775	458.033623682852	100.058002628628	154.462268418031	1.63477866826632	1.25931673903663
"19"	"201304"	37.4603095291726	291.561365685935	92.5387905454978	65.0070469693467	1.61900292925224	5.37330093476189
"20"	"201305"	12.5662494231611	127.6775981272	42.6932989848513	44.7127187477666	4.01471318596477	0.974024002806676
"21"	"201306"	15.1305091832821	182.40904514943	80.2884334895067	42.7570344388136	14.8276481088132	0.859465881046298
"22"	"201307"	19.724109314679	143.710717574774	165.353423227185	29.2497161999678	25.6806489583351	0.454021585079014
"23"	"201308"	26.8277731878658	131.336600089119	139.585914786744	51.3388792497266	13.2344709941504	0.406976062338759
"24"	"201309"	42.487958046342	214.48591041609	127.928390748186	151.199834706406	3.97126201838727	0.857559088946949
"25"	"201310"	25.5819339386342	41.608047841609	69.4435879614853	52.0008384217517	8.00124818190873	1.01326955236136
"26"	"201311"	13.69924562	140.46540955	46.1738793178889	83.6078940084444	4.40160069532333	1.90399803292083
"27"	"201312"	6.9195179205	239.07503025	36.2367131231111	121.236696332	1.58850471758917	2.68672750894583
"28"	"201401"	14.1900779235	500.008437705	48.4190410291111	210.400262344111	1.72992927542229	4.42045317299792
"29"	"201402"	34.4694062745	1227.53016479	79.6327294722778	453.356069226167	2.03969763786312	9.1554787953575
"30"	"201403"	15.831670503	827.286956075	62.7693835210556	272.488289490389	3.34649819398167	7.68807932670708
"31"	"201404"	45.682418124	3307.18815966	235.231051412867	1146.09365651233	3.2701944880075	29.4132497608213
"32"	"201405"	66.253389322	1733.40362693	207.650476364922	497.698978954278	20.2085638629404	14.8973838268935
"33"	"201406"	34.213998208	620.56891187	223.896634925817	76.9103775902614	34.8442685027791	2.04294209728905
"34"	"201407"	37.9616010587	484.675101308	120.443722398405	94.709673481183	7.45648636488697	3.4019290238068
"35"	"201408"	55.2411193665	739.2960724	49.1122335764444	173.392374231778	9.17409152858167	7.48240244688208
"36"	"201409"	20.9209126986	532.551429912	59.4593329230556	108.502079655	8.83110331589554	4.99888597500675
"37"	"201410"	16.7686591218	434.630884906	16.5513588155	49.4944916636111	7.66562400464833	4.52600806064583
"38"	"201411"	39.1901492955	1781.315143425	105.813991043951	562.635570121863	4.74203298903562	9.494278206835
"39"	"201412"	12.4299878575	481.877611285	59.8732006606961	105.110698784373	3.99186742346712	2.06445690385417
"40"	"201501"	3.4877981425	71.892285535	32.7498676785882	40.6016987671176	2.57115528796775	1.72450122360417
"41"	"201502"	15.4457059826	458.949914453	43.0004522861775	143.125348477005	2.86979383627875	1.871605252375
"42"	"201503"	31.1275191375	748.1070096	82.5062239611667	183.347237218056	3.3539721139888	5.89248301644963
"43"	"201504"	27.089778009	626.20638003	98.8867832435	183.937216011333	3.57630412593705	6.02702194122705
"44"	"201505"	90.074594632	895.92660817	44.4201231285131	185.187900141778	4.71180318857142	8.0852086698855
"45"	"201506"	83.6732364705	129.47949564	8.326184611	9.34976525738889	3.0152329743461	0.675600156488104
"46"	"201507"	19.21717475	540.5083256	6.38128416333333	20.33635315	2.73891456997	2.83930663978125
"47"	"201508"	50.259592841	1243.16914888	21.1948699103333	70.2127247836667	8.123965111606	8.76989417571521
"48"	"201509"	20.600991354	109.10263077	28.9548528336667	296.200734974667	6.462104777285	7.98891244819875
"49"	"201510"	27.424224579	1023.572086185	52.4577500072778	762.694388009111	6.91149700721833	6.50499296029521
"50"	"201511"	32.9310261	1130.1340368	37.8126464666667	78.9949384	6.300917364825	4.1365246629
